,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,HR Data Analyst,£24K - £26K (Glassdoor est.),"Successful organisations base decisions on good evidence and insights. At Ocado Group we are no different, and as we evolve from innovative retailer to international technology provider we have been transforming our approach to people analytics and insights.

We have a number of exciting opportunities for HR Data Analysts to join our expanding People Insights team supporting across the people function. You will help influence and shape how the business makes decisions about our processes through qualitative and quantitative insights and analytics.

If you are passionate about storytelling through data-led insights, are inspired by seeing your analytical work drive change and excited about helping to transform the people function globally please read on, apply and tell us about your relevant experiences

What will you be doing
To provide scalable, repeatable and transferable value adding insights about HR Shared Services and the wider people teams, to support stakeholders globally
Ensure that the basics of good insights are in place; that data is accurate, relevant and timely and methods are appropriate.
Producing data sets and presentations to demonstrate delivery against our objectives
Mature the capability of stakeholders to use data and insights by running regular data insight sessions with a key outcome of upskilling colleagues in analysis of data.
Delivering people insight solutions relating to various teams across the people function and HR shared services to support decision making.
Engaging confidently with stakeholders and communicating ideas with conviction, verbally, visually and in writing
Create processes that provide consistency and support HR shared services and the wider people team.
Guiding and supporting colleagues to improve the use of people insights
Providing data dashboards that tell a story of performance and delivery.
Tracking project progress against workforce plans, including early warning systems and risk management flags
About you..
Proven experience of HR operations analytics, translating data into meaningful insights with technical skills in the manipulation, analysis and visualisation of quantitative and qualitative data.
Strong interpersonal skills, who can communicate complex information to non-specialists, helping others to make good use of research and data to reach evidence-led decisions.
Comfortable interacting with and influencing stakeholders at all levels and not solely focused on a technical role.
Experience of handling large datasets through platforms such as HRIS, CRM and other HR technologies
Experience of at least one of the following, business intelligence platforms such as Tableau or equivalent, querying relational databases using SQL, knowledge of programming languages such as Python or R, use of BigQuery.
Commitment to continuous improvement and a willingness to try and fail quickly, including continuing professional development, particularly in relation to new data analytic tools and methodologies.
Good understanding of the considerations with data quality and disclosure, and ensuring the quality of results and methodological rigour
Ocado Group is an equal opportunities employer and as such makes every effort to ensure that all potential employees are treated fairly and equally, regardless of their sex, sexual orientation, marital status, race, colour, nationality, ethnic or national origin, religion, age, disability or union membership status.

For more reasons to apply, please visit: Working at Ocado Group, Diversity & Inclusion at Ocado Group, Core Pillars

About Ocado Group

When our journey started, we were all about changing the way people shop for groceries. 20 years later, we're a FTSE 100 business developing our own ground breaking technology, opening multiple sites at an accelerating rate and engaging in exciting new business partnerships around the world!

Transforming an industry also means transforming the way we do business. As we continually develop new technologies and customer propositions, we're looking for the brightest talents to lead us into the next stage of our evolution: enhancing our capabilities, inspiring our teams and developing new ways of working.

Benefits

Ocado employee experience is very important to us. As well as keeping a smile on your face with weekly massages, a games room, coffee shop, weekly food samples and amazing food hall to satisfy your daily breakfast and lunchtime taste buds! All Ocado employees are offered a benefits package of - 25 days holiday, 15% discount on your weekly ocado shop, pension, share options, discounts on gym memberships and family friendly offers.

#LI-LG1",3.6,"Ocado Group
3.6","Hatfield, East of England, England",10000+ Employees,2000,Company - Public,Grocery Stores & Supermarkets,Retail,$1 to $2 billion (USD)
1,GDPR Data Analyst-CRM Data,-1,"Our client requires a Data specialist with GDPR audit experience to assist on a short-term assignment.
You will be required to search for legacy consent (opt-in to communications) across a variety of CRMs.
You will have the following experience:
Worked on GDPR/data audit topics within CRM
Competent in Data extraction and analysis
Solid understanding of where consent may have captured in various website Databases and eCRM tools
Strong Stakeholder Management (role would require to interview and work closely with stakeholders to understand where consent may be captured)
Reporting back to Compliance manager findings and recommendations
Immediate Start & Remote working",3.4,"Digital Gurus
3.4","London, England",51 to 200 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
2,"Data Analyst - London, UK",£25K - £40K (Glassdoor est.),"Join a team of passionate thought leaders in a dynamic and collaborative environment! New Signature's Operations team is growing fast and we're looking for our next Data Analyst to join us.
ROLE DESCRIPTION
What impact will you have in this role?
To develop and enhance new internal reports for monitoring of managed services activity
Take responsibility and accountability for ensuring that all service reports & statistically reporting are accurately published
Provide ad hoc performance, productivity and efficiency statistics as required by senior managers for Managed/Professional Services customers
Work within the internal system teams to ensure the integrity of data and associated systems
Document the current state architecture primarily using components and sequence diagrams
Provide indication of any risks or issues to Senior Management

What skills and experience do you need to be successful in this role?
Analysis and reporting with a competency in statistics and simple Data modelling
Experience with PowerBI from a visualisation & reporting perspective
Communication with ability to interface with colleagues and management verbally and in writing
Strong experience of SQL Server
Experience using the Azure platform preferred, but not essential
Knowledge of ITIL framework preferred

What education and certification credentials are needed for this role?
Degree Educated
Security Responsibility:
All employees must act in accordance with New Signature's corporate security standards.
ABOUT NEW SIGNATURE
New Signature is a cloud-first, full-service Microsoft partner committed to delivering innovative technology solutions that solve human challenges. Behind every interaction is our dedication to provide outstanding experiences and to build authentic relationships with those around us. We are passionate about driving transformational results for clients across all company sizes, geographies and industries. The New Signature team delivers full lifecycle solutions—from project inception and planning, through deployment to ongoing support and maintenance.
New Signature was named the top Microsoft partner in the United States and the United Kingdom in 2014 and again in the United States in 2015—becoming the first partner ever to win the prestigious US Partner of the Year award two years in a row. With over 600 individual technology certifications, New Signature is a recognized expert at the forefront of Microsoft advancements and couples these powerful technologies with exceptional services to empower our customers, colleagues, and community.
OUR CORE VALUES
Our employees are driven by our values and know that they make a positive difference every time that they help a customer to solve their challenges. Our focus on delivering great customer experiences empowers our people to build rewarding relationships that contribute to our positive work environment. You can learn more about our culture here: New Signature Culture


Human
We use our hearts and minds to collaborate for success.
We harness technology to drive business, but we never let that replace our human connections. We use our hearts and minds to collaborate for success and instill confidence in our customers through relationships forged from trust.


Generous
We are giving and respectful.
With our efforts to always be generous, we elevate our service level with empathetic and considerate communications and actions. We always find a way to support our customers and colleagues by giving of our time and talent and equally respecting the time and talent of others.


Authentic
We tell it as it is, with positive intent.
Being authentic helps to nurture our strong and trusted relationships. We are honest, transparent, and reliable. When you partner with New Signature, you are partnering with a group of purposeful, outcome-driven and results-oriented professionals.


Innovative
We push the boundaries at the intersection of people, process and technology.
For us, there are no limit to our dreams. We continually innovate and push boundaries at the intersection of people, process, and technology to bring our customers and colleagues the best solutions first.

EQUAL EMPLOYMENT OPPORTUNITY
As a Global Cloud Transformation Consultancy business, New Signature understands diversity and inclusion in the workplace brings benefits to our customers, our business and most importantly, our people. We are committed to being an inclusive employer and we provide equal employment opportunities to all employees and applicants for employment.
New Signature prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other factors protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including all aspects of the recruiting and employment life-cycle at New Signature.
EMPLOYMENT ELIGIBILITY
New Signature requires candidates to prove eligibility to work in the UK. Offered candidates may be asked to complete a background check as permitted by applicable employment regulations. Depending on the requirements of the job, these record checks may include any or all of the following education verification, employment verification, drug screening, and criminal record check.",3.5,"New Signature
3.5","London, England",201 to 500 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
3,Data Analyst,£35K - £60K (Glassdoor est.),"Data Analyst - London

At RVU, we have the best of both worlds: the excitement of a start-up and the strength of well-established, trusted household names.
Uswitch is the UK’s top comparison website for home services switching helping consumers save money on their gas, electricity, broadband, TV and phone.
Money is one of the UK’s leading comparison websites for financial services. Consumers can compare loans, credit cards, bank accounts and insurance from more than 600 providers.
Bankrate is changing the mortgage market. We create innovative and personalised products that help you make smarter decisions. We want to empower you to find a house and get a mortgage without talking to an agent or broker.
Together, we are RVU. Together, we have the power to reach consumers across the UK, and the technology to give them a world class online experience.

We believe in being great people to work with: we are very passionate about our own work, but we think that it’s important to make time to help others with their work - so that the entire team gets better every day. We are entrepreneurial - we believe in challenging the status quo and solving problems our users will face tomorrow. Perhaps most of all, we are inclusive: no matter who we are, where we come from, or which project we work on, we are one team with one dream: improving the lives of our users through awesome experiences.

What you’ll be working on:

You will be joining a highly-motivated team at a very exciting time, with lots of opportunity to help shape the future across RVU.

You’ll be using tools and databases including BigQuery, MySQL, Google Analytics, Segment, R, Python, and Tableau to tackle intriguing and exciting problems that we’re only just starting to understand, in order to:
Measure, quantify and optimise complex marketing funnels and consumer journeys, within our energy switching business
Explore customer data to derive new insights and recommendations for improved segmentation and targeting
Collaborate and influence CRM/product teams to make more informed data-guided decisions
Monitor, report and diagnose trends in KPIs, automating wherever possible
Communicate and present clearly to colleagues across marketing, commercial, finance and product
Curate, model, manage and transform customer data from its raw format to a well structured and reliable data format
Requirements

What we’re looking for:
Proven track record and passion for using digital analytics to drive business impact
Strong SQL Skills particularly in reference to Google Big Query
Experience in using analytical and data BI tooling such as Tableau (R, Python, Git, dbt - nice to haves)
Excellent communication skills; scoping projects, disseminating results and instilling confidence in your work with key internal stakeholders of varied backgrounds
An independent, self-starter, good at working on your own as well as part of a collaborative product team
Comfort with and excitement for a fast-paced and often changing environment
Positive, can do attitude
Intellectual curiosity; you have a desire to learn and continually improve
Benefits

We want to give you a great work environment; contribute back to both your personal and professional development; and give you great benefits to make your time at RVU even more enjoyable. Some of these benefits include:
A competitive salary and bonus package
Employer matching pension up to 7.5%
Hybrid approach of in-office and remote working - we've learnt to adapt our work style throughout 2020 and will be adopting a hybrid approach of in-office and remote working, once it is safe to do so, where each employee will combine a mixture of the two each week.
‘Work from Home’ budget to help contribute towards a great work environment at home
Excellent maternity, paternity and adoption leave policy, for those key moments in your life
Regular virtual events - from company-wide events with insightful external speakers, to virtual ‘coffee chats’ with fellow colleagues, we want to make sure our colleagues continue to feel connected whilst working remotely.
Health insurance",4.8,"RVU
4.8","London, England",201 to 500 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
4,EMEA Research and Data Analyst - Market Intelligence,£22K - £33K (Glassdoor est.),"Do you have a passion for using data and information to uncover hidden truths? Can you help to visualise relevant content in a way that inspires others to extract vital information to shape their plans? Do you consider yourself a real team player who can act as a key liaison between Market Intelligence and our Business Units, National and Regional Sales Organisations, and suppliers? Come and join Canon's dynamic Market Inteligence group working across EMEA!

As an EMEA Data and Research Analyst in our Market Intelligence (MI) team, you will be responsible for supporting the activities of the team to deliver key research, data and information across EMEA. You will drive and maintain our SharePoint collaboration platform to maximise the use and accessibility of all of MI’s content with relevant stakeholders. You will bring your creativity, enthusiasm and energy to supporting the communication and marketing of MI’s services to a wider audience. Acting as an expert on data and information you can assist others to extract the key facts buried beneath the data helping them to interpret the relevant insights which can help to shape their thinking. You possess a curiosity to develop your own skills on a variety of IT collaboration tools and have the drive and persistence to manage accurate reporting systems for all our internal stakeholders across EMEA.
What we give
With Canon, you'll get the support and encouragement you need to grow, from people who share your ambition. We'll invest in your professional development to help you learn and progress in your role with us. You'll find leaders who give you the freedom to explore new things and a team where knowledge is shared openly.

As a key member of the Market Intelligence (MI) team your main responsibilities include;
Supporting the MI Consultants to gather, review, analyse and present key market overviews.
Supporting the continuous evolution of MI collaboration processes and tools aligned with key business requirements.
Acting as a Provider and Promoter of relevant data and information, you will be required to maintain accurate standards of delivery of Canon sales data for our suppliers and also for the timely updates of the MI dashboards.
You will be responsible for regular mining of external content to track key market developments across Canon’s territories. This will allow you to work in close collaboration with the MI Consulting team and internal stakeholders to support key business outcomes.
Acting as a key central contact point for the group’s activities, you will provide core administrative support on agreed elements, e.g. MI budget tracking, maintaining contact lists etc, or facilitating supplier workshops and activities to ensure maximum efficiency and effectiveness of our activities.
What we ask
We need people who can achieve the exceptional by working collaboratively, who have the courage to risk new ways of doing things and the ability to see the world the way their customers see it. We're looking for creative problem-solvers like you, someone who can ensure Canon stays ahead in an ever-changing world.

We need people who are genuinely interested in fact-based decision making who are adept at “number crunching” and who have a high competence with data and data management tools.
We need Analysts who are competent in using databases and spreadsheets for report creation with a good understanding of how data is used and how it can be presented utilising creative platforms such as Infographics, etc.
Individuals who can demonstrate an intellectual curiosity and a “can-do” attitude in all their given projects with a tenacity to focus on delivering agreed objectives to support team activities.
Ideally you will have good knowledge and experience of secondary research data sources and possess sound analytical skills, as well as established skills in Microsoft Office 365, Sharepoint, Power BI, and knowledge of statistical software such as SPSS for data mining.
Your Experience: You may have started your career in a service agency or sales, admin or marketing function in a multi-cultural environment supporting teams with key data and information to support fact based decision making and are now looking forward to your next career move and a position in which you can make a real difference. You will possess sound, analytical, communication and interpersonal skills which will inspire the teams you work with in a multi-cultural environment to see you as an integral member of a project and/or activity which supports a clear business outcome. Experience in supporting Product Marketing or working in an Insight function will be a key advantage.
You will need

To succeed in this role you will need to be: Results driven, Proactive, Enthusiastic, Tenacious in identifying an issue and Creating Solutions to Problems, and Persistent in your focus on a positive outcome.

Competencies: • Excellent interpersonal and communication skills, Apply high standards of accuracy • Can handle pressure well, Take Ownership and Accountability, • Plan & Organise Effectively, Flexible and Service minded approach, • Knowledge of and ability to use Internet and intranet-based facilities for information gathering. • Knowledge of and the ability to utilize Canon information systems. • Knowledge of various types of customers and ability to analyse customer activities, profiles and information

Further Information

You can expect to receive a competitive base salary plus access to our benefits which include: pension, private healthcare, annual bonus, 25 days holiday, staff discount across our product range, plus many other lifestyle benefits.
Canon is enriching lives and businesses in incredible new ways. You can play a part in shaping the future of a company that’s strong, ambitious and considerate, where people do great things together. You can expect the exceptional and achieve the exceptional, with the world's best imaging company.

Expect the Exceptional.",3.5,"Canon
3.5","Uxbridge, England",10000+ Employees,1937,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
5,Business Analyst - Data,-1,"Location

London, England


Contact:

Georgina Young

Sector:

Insurance

Contact email:

gyoung@venquis.com


Job type:

Contract


Job ref:

BBBH15928_1607457303


Salary/Rate:

Negotiable


Published:

11 days ago


Expiry date:

2021-01-07
We are working with a leading consultancy based in London that provides sustainable business solutions for London Market Clients.

They are currently partnered with a Lloyds Syndicate who does not yet have a Data Warehouse and has plans to implement one in the new year. They are looking for a Business Analyst to come on board and be responsible for the requirements gathering and Lloyds reporting (Reg, MI, Finance) to help get them set up for the project to start.

Key skills required:
London Market experience
Experience working on Data Warehouse projects
Experience with Lloyds reporting
Strong requirements gathering
If you are interested in this position, please get in contact on 07527539365 or gyoung@venquis.com
Apply

Go back",-1,Venquis,"London, England",Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD)
6,Data Analyst - Excel & SQL,£21K - £32K (Glassdoor est.),"This is an excellent opportunity for an experienced Data Analyst to take a newly created position within a well-established and highly reputable organisation in the Uckfield area of Sussex paying up to £30,000. Please note – due to the current Covid19 situation this role will have work from home options and flexibility.
To be considered for this position you will have a solid background in data analysis, with strong Excel and SQL skills. Any further experience with Power BI, MS SharePoint, &/or MS Dynamics 365 would be highly beneficial but NOT essential.
You will be responsible for analysing, profiling and validating data to identify position data quality issues, and proactively suggest improvements to process.
Monthly reporting will include all information regarding data quality breaches, data exception requests, and data accuracy percentages.
Your core responsibility will be to support the functions of the Global Data & Analytics team. This will include:
Data governance
Data quality & data quality breaches
Data reporting & dashboard management
Data interrogation
Data cleansing
Data policies & procedures
This is a fantastic opportunity for a Data Analyst to join a global firm in their dedicated Global Data & Analytics team. If you are a confident and outgoing Data Analyst with strong Excel and SQL skills and you are looking for a new challenge, please send me your details immediately.
Based in Uckfield my client has onsite parking and is commutable from Brighton, Seaford, Eastbourne, Bexhill, Hailsham, Lewes, Burgess Hill. Haywards Heath, Crawley, East Grinstead, Crowborough, and Tunbridge Wells.",4.4,"Ashdown Group
4.4","London, England",1 to 50 Employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
7,Data Analyst- REMOTE,-1,"A leading and highly reputable Retail organisation is currently looking to add a skilled and experienced Data Analyst to their team on an initial 3-month contract basis. You as the Data Analyst will play a key role in the development of a robust and highly important system to assist the forecasting and global demand planning teams within the business.
The role will pay in the region of £325-£350p/d depending on your level of skill set and suitability for the Data Analyst position. You will also be working 100% remotely and there may be options for either extension or permanent work come the end of your contract depending on the situation of the department.
Your key attributes will include;
Expert skills using Microsoft Excel is absolutely essential
You will need to be comfortable using tools such as Power Pivot within Excel
Ability to handle and sort large volumes of important financial data
Capable of working independently- you will have support but largely will be expected to hit the ground running
Background working with forecasting and or demand planning would be advantageous but is not essential
Confident with your communication skills
This is a fantastic opportunity for you as an experienced Data Analyst to work with a genuine market leader within the retail industry and so if you would like to be considered for the role please send your CV forward by clicking the apply button below.
***PLEASE NOTE: Interviews will take place immediately for suitable Data Analyst applicants***
Capita IT Resourcing is acting as an Employment Business in relation to this vacancy.",-1,Capita IT Resourcing,"London, England",-1,-1,-1,-1,-1,-1
8,Procurement Data Analyst - 12 Months Fixed Term Contract,£32K - £38K (Glassdoor est.),"The Procurement Data Analyst will be responsible for identifying real opportunities to reduce costs or improve service levels to improve the long-term value to Informa. Leading and managing the interface between the business and Procurement Operations they will enable the business to ensure maximum benefits are realised and strategic objectives are achieved. Working with senior management they will enable ongoing sharing of spend data dashboards, tracking of projects and perform appropriate data analysis that will help the GS Procurement team deliver on their targets.
Through our unique visibility across the Group act as a Procurement Champion, ensure Procurement best practices are known within the business and processes, systems, tools and techniques are documented and maintained.
PRINCIPAL DUTIES AND RESPONSIBILITIES
Build & manage relationships with the wider GS Procurement team, understand business requirements to help them realise and track saving opportunities
Regularly analyse the unique spend data we generate for the whole company to identify and secure the benefits of Informa's scale as a group
Contribute to and assume responsibility for some of the GS tracked suppliers (the Renewals Tracker)
Registration of Savings: prepare procurement savings pipeline reports and documentation for the Head of Procurement Operations to review and sign off ensuring cost savings are recorded according to a savings methodology
Define and document best practice (processes, systems, tools and techniques) and glossary of terms to enhance financial processes and tracking of cost savings within Group Procurement
Handle ad hoc spend data queries from Head of Procurement Operations, the Procurement Team and wider business including updating the Renewal Tracker
Assist with collaborating with the Procurement Operations team to include new data sources in spend models and lead data visualisation projects
Contract repository: continue to develop our supplier landscape and contract visibility to influence acceptance of standard clauses and better manage risk
Support Proposal/Quotes (RFP/RFQs) or bidding processes/tenders with appropriate spend data, selection criteria and scoring analysis
Identify and suggest new improvement opportunities to enhance financial reporting, best practise, processes and controls within Procurement Operations
Perform various other tracking and analysis including Stakeholder management/mapping, maintaining a PSL (Preferred Supplier List), risk management, internal communication and sustainability goals
What we're looking for
Candidates should be graduates with a degree in a related subject (eg Business, Economics, Computer Science, Accounting)
They should have a good head for numbers, as well as attention to detail and accuracy, with the ability to communicate complex ideas. Strong knowledge of and experience with Microsoft Office products including Excel, Word and Powerpoint, plus the ability to problem solve; manage change; and present the Procurement (and wider) team with PACE* information in a timely manner is essential.
“PACE” is an interactive, user friendly spend dashboard created by Procurement Operations presenting supplier spend data for the whole of Informa from data held in many separate finance systems
ESSENTIAL
Experience with:
Data visualisation tools such as Power BI, Tableau, QlikView
Data analysis tools such as SQL, Access, Alteryx, IDEA
DESIRABLE BUT NOT ESSENTIAL
ERP systems such as SAP, Oracle, CODA and data extraction from these systems
Training in the technical tools used is available where required, but prior experience will assist in differentiating between candidates.
Proven work experience as a data analyst is essential and technical expertise regarding data models, database design and segmentation techniques is desirable.
Role Key Competencies
Mathematical and Analytical
Attention to detail
Technical Skills
Results oriented
Communication
Problem Solving
Planning and Organizing
Team Player
Tenacity
We know that sometimes the 'perfect candidate' doesn't exist, and that people can be put off applying for a job if they don't fit all the requirements. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply. You could be just what we need! We believe strongly in the value of diversity and creating supportive, inclusive environments where our colleagues can succeed. As such, Informa is proud to be an Equal Opportunity Employer. We do not discriminate on the basis of race, colour, ancestry, national origin, religion, or religious creed, mental or physical disability, medical condition, genetic information, sex (including pregnancy, childbirth, and related medical conditions), sexual orientation, gender identity, gender expression, age, marital status, citizenship, or other protected characteristics under local law.",3.4,"Informa
3.4","London, England",10000+ Employees,1998,Company - Public,Publishing,Media,$2 to $5 billion (USD)
9,Data Expert (Scientist/Analyst/Engineer),-1,"About Yoto:

Yoto is an interactive audio platform founded by experienced entrepreneurs that aims to
change the way children access audio content. The Yoto ecosystem revolves around a
curated library of stories, music, activities, sound effects, podcasts and radio. Children listen
to the content on Yoto Player, a safely connected speaker that is controlled using physical
cards with NFC technology. Additionally, the Yoto App allows parents to retain a level of
control, enabling volume control, remote play and more.

We launched our first hardware product, Yoto Player, on Kickstarter in November 2017,
reaching its funding target after only 5 days, and receiving a Red Dot Design award in the
process. The product shipped for Christmas 2018 to a great customer reaction. Our partners
include Roald Dahl Story Company, Penguin Random House, Hachette, Macmillan, Harper
Collins, Naxos, Storynory and more. Luke Kelly, grandson of Roald Dahl and MD of the
Roald Dahl Story Company, is on our board, and we are well-funded - backed by leading
investors.

At the start of 2020, having worked with Pentagram on the redesign of the product and our
brand, we relaunched Yoto Player. Since then, and despite certain major world events, sales
have been doubling (and sometimes tripling) MOM, we've launched UK and US websites,
won multiple awards including TIME's Best Invention 2020, had a tonne of good press
across the world and started to build some great buzz.

The role

We are looking for a data expert to join our growing team. You'll support a data driven
company by dissecting stakeholder's questions into requirements, helping to design and
implement these requirements across our platform and presenting the answers. Equally
you'll be proactively identifying striking insights from (potentially) available data.

You'll need to understand data from top to bottom, be able to identify the right questions to
ask and step into the data lifecycle in relevant places to work out the answers by yourself.

The role is currently fully remote but we have an office in King's Cross, London, where you'll
be expected to visit from time to time. Whilst this is not a remote only position, we offer
flexible working hours or remote working where possible and appropriate. Many of the team
are parents and we truly understand that life and work need to work together.

You will
Help engineers design amazing data sets with relevant data pipelines feeding into
state-of-the-art central analytical models
Design new data collection points and challenge existing data processes to provide
better insights for business
Be the chief guard of all company data - protecting its accuracy, completeness,
consistency, security, safety
Get your hands dirty writing complex queries and scripts to transform and make
sense of all the data
Be the dashboards champion providing teams across the company with real time
access to KPIs, stats, performance metrics, alerts, etc
Help with defining company's domain model and ubiquitous language
You'll need
To be able to identify the most relevant data and present it in compelling and
comprehensible form
Excellent SQL and experience with NoSQL
Familiarity with statistical models and data mining algorithms
At least basic programming/scripting skills
Experience with Cloud based platforms - ideally MongoDB Atlas and AWS ( Redshift, Glue, Kinesis, VPC, IAM, Athena, S3, etc)
Experience with front-end data visualization frameworks and/or BI tools
We're a small team so you'll get a chance to play with plenty of different things all the time –
bonus points for any experience or desire to dig into any of the following:
Machine learning experience
Obsession with CI/CD
Knowledge of data related testing best practices
Interest in modern research method
What we offer:
Competitive salary (based on experience)
Equity (EMI share options)
25 days holidays
Workplace pension
Currently fully remote, but in more normal times, we operate a flexible work environment
Exciting ride in a fast-growth start-up
NB: This is a full-time role based in London and you must be eligible to work in the UK as we are unable to offer visa sponsorship. No recruiters please!",5.0,"Yoto
5.0","London, England",1 to 50 Employees,2018,Company - Private,Financial Analytics & Research,Finance,Less than $1 million (USD)
